Wavelength,Cm, Ch, Bm,Eumelanin,Pheomelanin,Baseline,Epidermis,ScatteringEpi,ScatteringDerm,Dermis,Reflectance
380,0.002,0.003,0.01,169.3809478396403,161.5942539940015,0.45161339628080815,0.7746189280985132,10.70062444996002,5.35031222498001,0.4907857756682759,0.41204809304681633
390,0.002,0.003,0.01,155.3455418066616,142.83712970835902,0.3786778900801753,0.6643183093212992,9.65854442259583,4.829272211297915,0.5149006255692299,0.3944040771001906
400,0.002,0.003,0.01,142.7855189861344,126.65228778807402,0.31819421266359565,0.5715828072042072,8.741823504652602,4.370911752326301,0.5403412188900768,0.3926510978490423
410,0.002,0.003,0.01,131.51451650226562,112.63534107303022,0.2680365401608564,0.49348377841038094,7.932784648554808,3.966392324277404,0.7378529472916212,0.33951413163898925
420,0.002,0.003,0.01,121.37347842917981,100.45322139078023,0.22644197748959877,0.42759699392881,7.216592000386382,3.608296000193191,0.7547752879546714,0.33827431334711533
430,0.002,0.003,0.01,112.22612779678802,89.83029665524481,0.19194859776352213,0.37191314624851995,6.58074077024114,3.29037038512057,0.4479453682559107,0.36643793211839365
440,0.002,0.003,0.01,103.9552728988143,80.53743328363643,0.16334405984997707,0.324764775164666,6.014647871172193,3.0073239355860966,0.4632700620830112,0.3627132734130478
450,0.002,0.003,0.01,96.45977946632703,72.38332974786923,0.1396229981347961,0.2847664693763026,5.509321687090168,2.754660843545084,0.15655036238742118,0.5009013352713971
460,0.002,0.003,0.01,89.65207711978748,65.20761221387161,0.11995168686956585,0.2507658368302752,5.057094333685522,2.528547166842761,0.08883552549542689,0.5799115893071374
470,0.002,0.003,0.01,83.45609670419829,58.8753053694024,0.10363873715678258,0.2218032346694157,4.651403544099015,2.3257017720495075,0.06312398346283594,0.6197719923567944
480,0.002,0.003,0.01,77.80555681409068,53.272382524514505,0.09011079665786136,0.1970786420951885,4.286614166727216,2.143307083363608,0.04670277139280366,0.6583927155179516
490,0.002,0.003,0.01,72.64253462098118,48.302167293935106,0.07889239794000427,0.1759243705759604,3.9578714406240603,1.9789357203120301,0.039412217162238555,0.6713384065271865
500,0.002,0.003,0.01,67.9162692041523,43.88241065774736,0.069589247190424,0.157782553741454,3.660979885227674,1.830489942613837,0.03656214143834656,0.6673487429417329
510,0.002,0.003,0.01,63.582155833944576,39.94290629027485,0.06187436594523779,0.14218655774220196,3.392302930916135,1.6961514654580676,0.03595106622854221,0.665723790111575
520,0.002,0.003,0.01,59.600897723131226,36.42353690431384,0.05547659875544882,0.12874561233138626,3.1486794177464876,1.5743397088732438,0.03825393050687755,0.6533054442378894
530,0.002,0.003,0.01,55.937788142581304,33.272667289100454,0.0501710828681783,0.11713209155129768,2.92735387048328,1.46367693524164,0.04806906170885872,0.6171928356939034
540,0.002,0.003,0.01,52.56210086872165,30.445817427149983,0.04577134496039612,0.10707097697480723,2.725918070164087,1.3629590350820435,0.07485940209277654,0.5290859190059505
550,0.002,0.003,0.01,49.446570979460446,27.904562818376924,0.04212274714851879,0.09833112088813292,2.542261924727234,1.271130962363617,0.09019198913672122,0.4720291511530434
560,0.002,0.003,0.01,46.566951262504844,25.615619859870165,0.03909705192033498,0.09071799547918775,2.374532022966332,1.187266011483166,0.07353143928229372,0.49138483276354594
570,0.002,0.003,0.01,43.90163211523481,23.550082531374215,0.03658791496255562,0.08406767008075934,2.2210965595934575,1.1105482797967288,0.06100418445365301,0.5190311863836805
580,0.002,0.003,0.01,41.43131493009177,21.68278325152247,0.03450714747009626,0.07824180424611002,2.080515561559256,1.040257780779628,0.06904396087808305,0.48821457764821896
590,0.002,0.003,0.01,39.13873067627961,19.99175600117882,0.03278161656822498,0.07312348185165847,1.951515540119741,0.9757577700598705,0.06612054981515557,0.47585813841323815
600,0.002,0.003,0.01,37.00839678761747,18.457783964937395,0.03135067490650499,0.0686137420866535,1.8329678495970294,0.9164839247985147,0.019452019868645355,0.6868568177050496
610,0.002,0.003,0.01,35.02640661061503,17.06401725504145,0.03016402908229783,0.06462868835768047,1.723870160226765,0.8619350801133825,0.007143220610985153,0.787868266886717
620,0.002,0.003,0.01,33.180246605964626,15.795648934622525,0.02917997197516482,0.06109707681885533,1.623330555056699,0.8116652775283495,0.004340527296177718,0.8150901431893233
630,0.002,0.003,0.01,31.458637270048442,14.639639689064044,0.02836391686390531,0.05795830325600516,1.5305538443660498,0.7652769221830249,0.003261836475339941,0.8285657723650793
640,0.002,0.003,0.01,29.851394382075767,13.58448321402264,0.02768718180474503,0.055160721069797816,1.4448297592946615,0.7224148796473308,0.0024805623607779925,0.8365062567151192
